Name,cat,manufacturer,model,insulation type,jacket type,od,kgm,jackThickness,guage,#conduits,grade,part#,Item#
Draka20-10 Control Cable Shielded,1,Draka,20-10 Control Cable Shielded,2,2,15.748,0.383946312,1.524,9,3,Industrial Grade,75031,700
OkoniteOkozel,1,Okonite,Okozel,2,2,10.922,0.29019198,0.381,9,3,Class 1E Nuclear,203-76-3653,22
OkoniteP-30,1,Okonite,P-30,2,2,13.462,0.29019198,1.143,9,3,Industrial Grade,203-84-2653,406
OkoniteP-45,1,Okonite,P-45,2,2,16.002,0.351206704,1.524,9,3,Industrial Grade,203-84-3653 ,1010
OkoniteFMR Okolon ,1,Okonite,FMR Okolon ,1,1,13.462,0.355671196,1.143,9,3,Industrial Grade,202-10-2653,319
OkoniteFMR - LCS Okolon ,1,Okonite,FMR - LCS Okolon ,1,1,19.05,0.555085172,1.524,9,3,Nuclear Tracability,202-14-6653,828
OkoniteFMR Okolon ,1,Okonite,FMR Okolon ,1,1,15.748,0.443472872,1.524,9,3,Nuclear Qualified 383,202-14-2653,853
OkoniteFMR-LCS Okolon,1,Okonite,FMR-LCS Okolon,1,1,17.526,0.495558612,1.524,9,3,Nuclear Tracability,202-10-6653,880
OkoniteFRM-N Okolon ,1,Okonite,FRM-N Okolon ,1,1,15.494,0.4092451,1.524,9,3,Nuclear Qualified,202-16-2653,916
OkoniteFRM-N Okolon 1000/2000V,1,Okonite,FRM-N Okolon 1000/2000V,1,1,17.272,0.456866348,1.524,9,3,Nuclear Qualified,202-18-2653,934
Generic (TP TP 9 4),1,GENERIC,GENERIC,2,2,15.494,0.404780608,1.524,9,4,,,
Generic (TS TS 9 4),1,GENERIC,GENERIC,1,1,17.272,0.549132516,1.524,9,4,,,
Draka20-10 Control Cable,1,Draka,20-10 Control Cable,2,2,15.24,0.383946312,1.524,9,4,Industrial Grade,75040,693
Draka20-10 Control Cable Shielded,1,Draka,20-10 Control Cable Shielded,2,2,17.018,0.473236152,1.524,9,4,Industrial Grade,75041,701
OkoniteOkozel,1,Okonite,Okozel,2,2,12.446,0.38692264,0.508,9,4,Class 1E Nuclear,203-76-3654,32
OkoniteP-30,1,Okonite,P-30,2,2,15.494,0.404780608,1.524,9,4,Industrial Grade,203-84-2654,1002
OkoniteP-45,1,Okonite,P-45,2,2,17.526,0.452401856,1.524,9,4,Industrial Grade,203-84-3654,1011
OkoniteFMR - LCS Okolon ,1,Okonite,FMR - LCS Okolon ,1,1,20.574,0.672650128,1.524,9,4,Nuclear Tracability,202-14-6654,829
OkoniteFMR Okolon ,1,Okonite,FMR Okolon ,1,1,17.272,0.549132516,1.524,9,4,Nuclear Qualified 383,202-14-2654,854
OkoniteFMR Okolon ,1,Okonite,FMR Okolon ,1,1,15.494,0.477700644,1.524,9,4,Industrial Grade,202-10-2654 ,855
OkoniteFMR-LCS Okolon,1,Okonite,FMR-LCS Okolon,1,1,18.796,0.601218256,1.524,9,4,Nuclear Tracability,202-10-6654,881
OkoniteFRM-N Okolon ,1,Okonite,FRM-N Okolon ,1,1,16.764,0.495558612,1.524,9,4,Nuclear Qualified,202-16-2654,917
OkoniteFRM-N Okolon 1000/2000V,1,Okonite,FRM-N Okolon 1000/2000V,1,1,18.796,0.578895796,1.524,9,4,Nuclear Qualified,202-18-2654,935
Generic (TP TP 9 5),1,GENERIC,GENERIC,2,2,16.764,0.492582284,1.524,9,5,,,
Generic (TS TS 9 5),1,GENERIC,GENERIC,1,1,18.796,0.672650128,0,9,5,,,
Draka20-10 Control Cable,1,Draka,20-10 Control Cable,2,2,16.764,0.465795332,1.524,9,5,Industrial Grade,75050,694
Draka20-10 Control Cable Shielded,1,Draka,20-10 Control Cable Shielded,2,2,18.415,0.561037828,1.524,9,5,Industrial Grade,75051,702
OkoniteOkozel,1,Okonite,Okozel,2,2,13.716,0.47621248,0.508,9,5,Class 1E Nuclear,203-76-3655,33
OkoniteP-30,1,Okonite,P-30,2,2,16.764,0.492582284,1.524,9,5,Industrial Grade,203-84-2655,1003
OkoniteP-45,1,Okonite,P-45,2,2,19.05,0.552108844,1.524,9,5,Industrial Grade,203-84-3655,1012
OkoniteFMR - LCS Okolon ,1,Okonite,FMR - LCS Okolon ,1,1,23.114,0.851229808,1.524,9,5,Nuclear Tracability,202-14-6655,830
OkoniteFMR Okolon ,1,Okonite,FMR Okolon ,1,1,18.796,0.672650128,1.524,9,5,Nuclear Qualified 383,202-14-2655,856
OkoniteFMR Okolon ,1,Okonite,FMR Okolon ,1,1,16.764,0.556573336,1.524,9,5,Industrial Grade,202-10-2655,857
OkoniteFMR-LCS Okolon,1,Okonite,FMR-LCS Okolon,1,1,20.066,0.703901572,1.524,9,5,Nuclear Tracability,202-10-6655,882
OkoniteFRM-N Okolon ,1,Okonite,FRM-N Okolon ,1,1,18.034,0.611635404,1.524,9,5,Nuclear Qualified,202-16-2655,918
OkoniteFRM-N Okolon 1000/2000V,1,Okonite,FRM-N Okolon 1000/2000V,1,1,20.32,0.690508096,1.524,9,5,Nuclear Qualified,202-18-2655,936
Generic (TP TP 9 7),1,GENERIC,GENERIC,2,2,18.288,0.645863176,1.524,9,7,,,
Generic (TS TS 9 7),1,GENERIC,GENERIC,1,1,20.574,0.828907348,1.524,9,7,,,
Draka20-10 Control Cable,1,Draka,20-10 Control Cable,2,2,18.288,0.622052552,1.524,9,7,Industrial Grade,75070,695
OkoniteOkozel,1,Okonite,Okozel,2,2,14.986,0.629493372,0.508,9,7,Class 1E Nuclear,203-76-3657,34
OkoniteP-30,1,Okonite,P-30,2,2,18.288,0.645863176,1.524,9,7,Industrial Grade,203-84-2657,1004
OkoniteP-45,1,Okonite,P-45,2,2,20.828,0.720271376,1.524,9,7,Industrial Grade,203-84-3657 ,1013
OkoniteFMR Okolon ,1,Okonite,FMR Okolon ,1,1,20.574,0.828907348,1.524,9,7,Nuclear Qualified 383,202-14-2657,858
OkoniteFMR Okolon ,1,Okonite,FMR Okolon ,1,1,18.288,0.72920036,1.524,9,7,Industrial Grade,202-10-2657,859
OkoniteFMR-LCS Okolon,1,Okonite,FMR-LCS Okolon,1,1,22.606,0.942007812,1.524,9,7,Nuclear Tracability,202-10-6657,883
OkoniteFRM-N Okolon ,1,Okonite,FRM-N Okolon ,1,1,19.558,0.770868952,1.524,9,7,Nuclear Qualified,202-16-2657,919
OkoniteFMR - LCS Okolon ,1,Okonite,FMR - LCS Okolon ,1,1,24.892,1.052131948,2.032,9,7,Nuclear Tracability,202-14-6657,1283
OkoniteFRM-N Okolon 1000/2000V,1,Okonite,FRM-N Okolon 1000/2000V,1,1,23.114,0.924149844,2.032,9,7,Nuclear Qualified,202-18-2657,1342
Generic (TP TP 9 9),1,GENERIC,GENERIC,2,2,21.336,0.831883676,1.524,9,9,,,
Generic (TS TS 9 9),1,GENERIC,GENERIC,1,1,25.146,1.186066708,2.032,9,9,,,
Draka20-10 Control Cable,1,Draka,20-10 Control Cable,2,2,21.463,0.78872692,1.524,9,9,Industrial Grade,75090,696
OkoniteOkozel,1,Okonite,Okozel,2,2,18.034,0.764916296,0.508,9,9,Class 1E Nuclear,203-76-3659,35
OkoniteP-30,1,Okonite,P-30,2,2,21.336,0.831883676,1.524,9,9,Industrial Grade,203-84-2659,1005
OkoniteP-45,1,Okonite,P-45,2,2,25.4,0.988140896,2.032,9,9,Industrial Grade,203-84-3659,1378
OkoniteFMR Okolon ,1,Okonite,FMR Okolon ,1,1,21.336,1.001534372,1.524,9,9,Industrial Grade,202-10-2659,860
OkoniteFMR - LCS Okolon ,1,Okonite,FMR - LCS Okolon ,1,1,28.448,1.315536976,2.032,9,9,Nuclear Tracability,202-14-6659,1284
OkoniteFMR Okolon ,1,Okonite,FMR Okolon ,1,1,25.146,1.186066708,2.032,9,9,Nuclear Qualified 383,202-14-2659,1298
OkoniteFMR-LCS Okolon,1,Okonite,FMR-LCS Okolon,1,1,25.654,1.171185068,2.032,9,9,Nuclear Tracability,202-10-6659,1308
OkoniteFRM-N Okolon ,1,Okonite,FRM-N Okolon ,1,1,23.622,1.08635972,2.032,9,9,Nuclear Qualified,202-16-2659,1331
OkoniteFRM-N Okolon 1000/2000V,1,Okonite,FRM-N Okolon 1000/2000V,1,1,26.67,1.230711628,2.032,9,9,Nuclear Qualified,202-18-2659,1343
Generic (TP TP 9 12),1,GENERIC,GENERIC,2,2,25.146,1.125051984,2.032,9,12,,,
Generic (TS TS 9 12),1,GENERIC,GENERIC,1,1,28.194,1.459888884,2.032,9,12,,,
Draka20-10 Control Cable,1,Draka,20-10 Control Cable,2,2,25.019,1.087847884,2.032,9,12,Industrial Grade,75120,1219
OkoniteOkozel,1,Okonite,Okozel,2,2,20.828,1.05659644,0.635,9,12,Class 1E Nuclear,203-76-3662,38
OkoniteP-30,1,Okonite,P-30,2,2,25.146,1.125051984,2.032,9,12,Industrial Grade,203-84-2662,1376
OkoniteP-45,1,Okonite,P-45,2,2,28.702,1.253034088,2.032,9,12,Industrial Grade,203-84-3662 ,1379
OkoniteFMR - LCS Okolon ,1,Okonite,FMR - LCS Okolon ,1,1,31.496,1.638468564,2.032,9,12,Nuclear Tracability,202-14-6662,1285
OkoniteFMR Okolon ,1,Okonite,FMR Okolon ,1,1,28.194,1.39887416,2.032,9,12,Nuclear Qualified 383,202-14-2662,1299
OkoniteFMR Okolon ,1,Okonite,FMR Okolon ,1,1,25.146,1.291726352,2.032,9,12,Industrial Grade,202-10-2662 ,1300
OkoniteFMR-LCS Okolon,1,Okonite,FMR-LCS Okolon,1,1,28.194,1.459888884,2.032,9,12,Nuclear Tracability,202-10-6662,1309
OkoniteFRM-N Okolon ,1,Okonite,FRM-N Okolon ,1,1,26.162,1.311072484,2.032,9,12,Nuclear Qualified,202-16-2662,1332
OkoniteFRM-N Okolon 1000/2000V,1,Okonite,FRM-N Okolon 1000/2000V,1,1,29.718,1.467329704,2.032,9,12,Nuclear Qualified,202-18-2662,1344
Generic (TP TP 9 15),1,GENERIC,GENERIC,2,2,27.813,1.333394944,2.032,9,15,Industrial Grade,75150,1220
Generic (TP TP 9 19),1,GENERIC,GENERIC,2,2,29.21,1.6369804,2.032,9,19,Industrial Grade,75190,1221
Generic (TP TP 9 25),1,GENERIC,GENERIC,2,2,35.052,2.132539012,2.032,9,25,Industrial Grade,75250,1222
Generic (TP TP 9 30),1,GENERIC,GENERIC,2,2,36.322,2.512020832,2.032,9,30,Industrial Grade,75300,1223
Generic (TP TP 9 37),1,GENERIC,GENERIC,2,2,39.243,3.0507362,2.032,9,37,Industrial Grade,75370,1224
Generic (TS  10 1),1,GENERIC,GENERIC,1,1,4.6482,0.061014724,0.762,10,1,Industrial Grade,,62
ContinentalSIS Switchboard Wire,1,Continental,SIS Switchboard Wire,1,1,4.6482,0.061014724,0.762,10,1,Industrial Grade,,62
ContinentalXHHW CONTROL WIRE,1,Continental,XHHW CONTROL WIRE,1,1,4.6482,0.061014724,0.762,10,1,Industrial Grade,,65
Generic (TP TP 10 2),1,GENERIC,GENERIC,2,2,9.9568,0.180067844,1.143,10,2,,,
Generic (TS TS 10 2),1,GENERIC,GENERIC,1,1,13.589,0.266381356,1.143,10,2,,,
Cable USAETFE TYPE TC,1,Cable USA,ETFE TYPE TC,2,2,9.2456,0.151792728,0.762,10,2,Industrial Grade,181002C6,45
Cable USAFEP Insulated Instrument/Control Cable,1,Cable USA,FEP Insulated Instrument/Control Cable,2,2,7.9756,0.138399252,1.143,10,2,Industrial Grade,,262
Cable USAFEP(Teflon) TYPE TC,1,Cable USA,FEP(Teflon) TYPE TC,2,2,9.9568,0.180067844,1.143,10,2,Industrial Grade,181002C6,277
Dekoron1C99,1,Dekoron,1C99,2,2,11.2522,0.191973156,1.143,10,2,Industrial Grade,,144
General Cable20/10,1,General Cable,20/10,2,2,11.43,0.19346132,1.143,10,2,Industrial Grade,257780,159
General CableVNTC ,1,General Cable,VNTC ,2,2,10.668,0.17113886,1.143,10,2,Industrial Grade,243630,541
General CableVNTC ,1,General Cable,VNTC ,2,2,10.922,0.177091516,1.143,10,2,Industrial Grade,243770,542
OkoniteOkozel,1,Okonite,Okozel,2,2,9.144,0.17113886,0.381,10,2,Class 1E Nuclear,203-76-3552,17
OkoniteP-30,1,Okonite,P-30,2,2,11.684,0.19346132,1.143,10,2,Industrial Grade,203-84-2452,404
American Insulated WireXL-40™ Control,1,American Insulated Wire,XL-40™ Control,1,1,11.684,0.2232246,1.143,10,2,Industrial Grade,29515,562
DrakaControl Cable Multiconductor XLPE ins,1,Draka,Control Cable Multiconductor XLPE ins,1,1,11.938,0.196437648,1.143,10,2,Industrial Grade,810-02,213
DrakaGeneral Purpose Control XLPE,1,Draka,General Purpose Control XLPE,1,1,13.589,0.266381356,1.143,10,2,Industrial Grade,258020,394
DrakaPower & Control Type TC XHHW-2,1,Draka,Power & Control Type TC XHHW-2,1,1,13.589,0.266381356,1.143,10,2,Industrial Grade,158023,469
General CableCHTC ,1,General Cable,CHTC ,1,1,11.557,0.187508664,1.143,10,2,Industrial Grade,355210,198
General CableCVTC ,1,General Cable,CVTC ,1,1,11.557,0.19346132,1.143,10,2,Industrial Grade,346930,226
General CableEHTC ,1,General Cable,EHTC ,1,1,11.557,0.199413976,1.143,10,2,Industrial Grade,343800,242
General CableFREP,1,General Cable,FREP,1,1,11.684,0.194949484,1.143,10,2,Industrial Grade,311900,341
General CableFREP,1,General Cable,FREP,1,1,11.557,0.190484992,1.143,10,2,Industrial Grade,305340,342
General CableUltrol 275,1,General Cable,Ultrol 275,1,1,11.2522,0.20834296,1.143,10,2,Class 1E Nuclear,378650,508
OkoniteFMR Okolon ,1,Okonite,FMR Okolon ,1,1,13.462,0.309538112,1.143,10,2,Nuclear Qualified 383,202-14-2452,315
OkoniteFMR Okolon ,1,Okonite,FMR Okolon ,1,1,11.938,0.247035224,1.143,10,2,Industrial Grade,    202-10-2452,316
OkoniteFRM-N Okolon ,1,Okonite,FRM-N Okolon ,1,1,12.192,0.242570732,1.143,10,2,Nuclear Qualified, 202-16-2452  ,354
OkoniteC-L-X Type MC (XHHW-2),1,Okonite,C-L-X Type MC (XHHW-2),1,1,17.526,0.300609128,1.27,10,2,Industrial Grade,546-31-3162,607
OkoniteC-L-X Type MC-HL (XHHW-2),1,Okonite,C-L-X Type MC-HL (XHHW-2),1,1,17.526,0.376505492,1.27,10,2,Industrial Grade,546-31-3502,625
OkoniteOkotherm CIC Fire Resistant Cable,1,Okonite,Okotherm CIC Fire Resistant Cable,3,3,19.812,0.415197756,1.27,10,2,Industrial Grade,546-15-3652 ,644
OkoniteFMR - LCS Okolon ,1,Okonite,FMR - LCS Okolon ,1,1,17.526,0.413709592,1.524,10,2,Nuclear Tracability,202-14-6452,823
OkoniteFMR-LCS Okolon,1,Okonite,FMR-LCS Okolon,1,1,17.018,0.41668592,1.524,10,2,Nuclear Tracability,202-10-6452,874
OkoniteFRM-N Okolon 1000/2000V,1,Okonite,FRM-N Okolon 1000/2000V,1,1,15.748,0.339301392,1.524,10,2,Nuclear Qualified,202-18-2452,928
Rockbestus-SupFirewall XLR,1,Rockbestus-Sup,Firewall XLR,1,1,10.668,0.1860205,0.889,10,2,Class 1E Nuclear,C17-0020,76
Rockbestus-SupX-Link TC,1,Rockbestus-Sup,X-Link TC,1,1,9.906,0.15625722,0.889,10,2,Industrial Grade,C10-0020,90
Rockbestus-SupFirewall SR,1,Rockbestus-Sup,Firewall SR,3,3,13.716,0.20834296,1.016,10,2,Class 1E Nuclear,C64-2020,115
Generic (TP TP 10 3),1,GENERIC,GENERIC,2,2,11.938,0.244058896,1.143,10,3,,,
Generic (TS TS 10 3),1,GENERIC,GENERIC,1,1,14.351,0.352694868,1.524,10,3,,,
American Insulated WireTYPE TC-ER Control/Instrument,1,American Insulated Wire,TYPE TC-ER Control/Instrument,2,2,11.3284,0.248523388,1.143,10,3,Industrial Grade,68142,497
Cable USAETFE TYPE TC,1,Cable USA,ETFE TYPE TC,2,2,9.8552,0.212807452,0.762,10,3,Industrial Grade,181003C6,46
Cable USAFEP Insulated Instrument/Control Cable,1,Cable USA,FEP Insulated Instrument/Control Cable,2,2,8.509,0.197925812,1.143,10,3,Industrial Grade,,263
Cable USAFEP(Teflon) TYPE TC,1,Cable USA,FEP(Teflon) TYPE TC,2,2,10.5664,0.241082568,1.143,10,3,Industrial Grade,181003C6,278
Dekoron1735,1,Dekoron,1735,2,2,11.8364,0.175603352,1.143,10,3,Industrial Grade,,129
Dekoron1C99,1,Dekoron,1C99,2,2,12.1412,0.255964208,1.143,10,3,Industrial Grade,,145
Draka20-10 Control Cable,1,Draka,20-10 Control Cable,2,2,12.573,0.25298788,1.143,10,3,Industrial Grade,74030,169
DrakaPower & Control 3 THHN/THWN,1,Draka,Power & Control 3 THHN/THWN,2,2,12.7,0.311026276,1.143,10,3,Industrial Grade,8047,410
DrakaPower & Control Type TC THHN or THWN,1,Draka,Power & Control Type TC THHN or THWN,2,2,11.938,0.244058896,1.143,10,3,Industrial Grade,8033,438
DrakaPower & Control Type TC THHN OR THWN Shield,1,Draka,Power & Control Type TC THHN OR THWN Shield,2,2,13.716,0.315490768,1.143,10,3,Industrial Grade,9603,455
DrakaPower & Control Type TC THHN OR THWN Shield,1,Draka,Power & Control Type TC THHN OR THWN Shield,2,2,13.716,0.285727488,1.143,10,3,Industrial Grade,9803,456
Draka20-10 Control Cable Shielded,1,Draka,20-10 Control Cable Shielded,2,2,15.24,0.346742212,1.524,10,3,Industrial Grade,74031,697
General Cable20/10,1,General Cable,20/10,2,2,12.192,0.25298788,1.143,10,3,Industrial Grade,267840,160
General CableVNTC ,1,General Cable,VNTC ,2,2,11.43,0.233641748,1.143,10,3,Industrial Grade,236310,543
General CableVNTC ,1,General Cable,VNTC ,2,2,11.684,0.241082568,1.143,10,3,Industrial Grade,243820,544
General CableVNTC ,1,General Cable,VNTC ,2,2,12.827,0.20090214,1.143,10,3,Industrial Grade,234260,545
OkoniteOkozel,1,Okonite,Okozel,2,2,9.652,0.229177256,0.381,10,3,Class 1E Nuclear,203-76-3553,18
OkoniteP-30,1,Okonite,P-30,2,2,12.446,0.244058896,1.143,10,3,Industrial Grade,203-84-2453,405
American Insulated WireTYPE TC Control/Instrument,1,American Insulated Wire,TYPE TC Control/Instrument,1,1,11.938,0.229177256,1.143,10,3,Industrial Grade,40939,485
American Insulated WireXL-40™ Control,1,American Insulated Wire,XL-40™ Control,1,1,12.7,0.27531034,1.143,10,3,Industrial Grade,19895,563
American Insulated WireXLPE-CPE TYPE TC Power/Control,1,American Insulated Wire,XLPE-CPE TYPE TC Power/Control,1,1,12.065,0.224712764,1.143,10,3,Industrial Grade,40821,586
Dekoron2X35,1,Dekoron,2X35,1,1,12.8016,0.269357684,1.143,10,3,Industrial Grade,2X35-B1260,176
DrakaControl Cable Multiconductor XLPE ins,1,Draka,Control Cable Multiconductor XLPE ins,1,1,12.7,0.266381356,1.143,10,3,Industrial Grade,810-03,214
DrakaGeneral Purpose Control XLPE,1,Draka,General Purpose Control XLPE,1,1,12.7,0.27531034,1.143,10,3,Industrial Grade,228030,393
DrakaGeneral Purpose Control XLPE,1,Draka,General Purpose Control XLPE,1,1,12.7,0.27531034,1.143,10,3,Industrial Grade,208030,395
DrakaPower & Control Type TC 3 XHHW-2 1 bare,1,Draka,Power & Control Type TC 3 XHHW-2 1 bare,1,1,12.7,0.311026276,1.143,10,3,Industrial Grade,8047,423
DrakaPower & Control Type TC XHHW-2,1,Draka,Power & Control Type TC XHHW-2,1,1,12.7,0.27531034,1.143,10,3,Industrial Grade,108033,470
DrakaGeneral Purpose Control XLPE,1,Draka,General Purpose Control XLPE,1,1,15.113,0.348230376,1.524,10,3,Industrial Grade,258030,981
DrakaPower & Control Type TC 3 XHHW-2 1 bare Shield,1,Draka,Power & Control Type TC 3 XHHW-2 1 bare Shield,1,1,15.621,0.41668592,1.524,10,3,Industrial Grade,158047,1035
DrakaPower & Control Type TC XHHW-2,1,Draka,Power & Control Type TC XHHW-2,1,1,15.113,0.348230376,1.524,10,3,Industrial Grade,158033,1092
DrakaALL-TEMP INDUSTRITE Type SOW Control,1,Draka,ALL-TEMP INDUSTRITE Type SOW Control,1,1,17.653,0.422638576,2.413,10,3,Industrial Grade,A13385,1504
General CableCHTC ,1,General Cable,CHTC ,1,1,12.319,0.261916864,1.143,10,3,Industrial Grade,224100,199
General CableCVTC ,1,General Cable,CVTC ,1,1,12.319,0.257452372,1.143,10,3,Industrial Grade,770600,227
General CableCVTC ,1,General Cable,CVTC ,1,1,13.081,0.351206704,1.143,10,3,Industrial Grade,383880,228
General CableEHTC ,1,General Cable,EHTC ,1,1,12.319,0.264893192,1.143,10,3,Industrial Grade,343810,243
General CableFREP,1,General Cable,FREP,1,1,12.446,0.2604287,1.143,10,3,Industrial Grade,367230,344
General CableFREP,1,General Cable,FREP,1,1,12.319,0.255964208,1.143,10,3,Industrial Grade,280410,345
General CableUltrol 275,1,General Cable,Ultrol 275,1,1,11.938,0.25298788,1.143,10,3,Class 1E Nuclear,378660,509
General CableCHTC Type TC-ER,1,General Cable,CHTC Type TC-ER,1,1,13.3604,0.199413976,1.524,10,3,Industrial Grade,282570,753
General CableEHTC ,1,General Cable,EHTC ,1,1,14.351,0.352694868,1.524,10,3,Industrial Grade,383850,779
General CableEHTC ,1,General Cable,EHTC ,1,1,13.3604,0.199413976,1.524,10,3,Industrial Grade,383820,780
OkoniteFMR Okolon ,1,Okonite,FMR Okolon ,1,1,12.7,0.30507362,1.143,10,3,Industrial Grade,    202-10-2453,317
OkoniteFRM-N Okolon ,1,Okonite,FRM-N Okolon ,1,1,12.7,0.30507362,1.143,10,3,Nuclear Qualified,202-16-2453,355
OkoniteC-L-X Type MC (XHHW-2),1,Okonite,C-L-X Type MC (XHHW-2),1,1,17.526,0.354183032,1.27,10,3,Industrial Grade,546-31-3163,608
OkoniteOkotherm CIC Fire Resistant Cable,1,Okonite,Okotherm CIC Fire Resistant Cable,3,3,20.828,0.495558612,1.27,10,3,Industrial Grade,546-15-3653,645
OkoniteFMR - LCS Okolon ,1,Okonite,FMR - LCS Okolon ,1,1,18.288,0.49853494,1.524,10,3,Nuclear Tracability,202-14-6453,824
OkoniteFMR Okolon ,1,Okonite,FMR Okolon ,1,1,15.24,0.38692264,1.524,10,3,Nuclear Qualified 383,202-14-2453,844
OkoniteFMR-LCS Okolon,1,Okonite,FMR-LCS Okolon,1,1,17.018,0.46133084,1.524,10,3,Nuclear Tracability,202-10-6453,875
OkoniteFRM-N Okolon 1000/2000V,1,Okonite,FRM-N Okolon 1000/2000V,1,1,16.51,0.407756936,1.524,10,3,Nuclear Qualified,202-18-2453,929
Rockbestus-SupFirewall XLR,1,Rockbestus-Sup,Firewall XLR,1,1,11.176,0.23810624,0.889,10,3,Class 1E Nuclear,C17-0030,77
Rockbestus-SupX-Link TC,1,Rockbestus-Sup,X-Link TC,1,1,10.668,0.21578378,0.889,10,3,Industrial Grade,C10-0030,91
Rockbestus-SupFirewall SR,1,Rockbestus-Sup,Firewall SR,3,3,14.732,0.2976328,1.016,10,3,Class 1E Nuclear,C64-2030,116
Rockbestus-SupFirewall III,1,Rockbestus-Sup,Firewall III,1,1,12.192,0.29019198,1.143,10,3,Class 1E Nuclear,C51-0030,291
Generic (TP TP 10 4),1,GENERIC,GENERIC,2,2,13.081,0.31251444,1.143,10,4,,,
Generic (TS TS 10 4),1,GENERIC,GENERIC,1,1,14.732,0.410733264,1.524,10,4,,,
American Insulated WireTYPE TC-ER Control/Instrument,1,American Insulated Wire,TYPE TC-ER Control/Instrument,2,2,12.446,0.315490768,1.143,10,4,Industrial Grade,68143,498
Cable USAETFE TYPE TC,1,Cable USA,ETFE TYPE TC,2,2,10.8204,0.27531034,0.762,10,4,Industrial Grade,181004C6,47
Cable USAFEP Insulated Instrument/Control Cable,1,Cable USA,FEP Insulated Instrument/Control Cable,2,2,9.3726,0.254476044,1.143,10,4,Industrial Grade,,264
Cable USAFEP(Teflon) TYPE TC,1,Cable USA,FEP(Teflon) TYPE TC,2,2,11.5062,0.302097292,1.143,10,4,Industrial Grade,181004C6,279
DrakaPower & Control Type TC THHN or THWN,1,Draka,Power & Control Type TC THHN or THWN,2,2,13.081,0.31251444,1.143,10,4,Industrial Grade,8043,439
Draka20-10 Control Cable,1,Draka,20-10 Control Cable,2,2,14.732,0.34971854,1.524,10,4,Industrial Grade,74040,689
Draka20-10 Control Cable Shielded,1,Draka,20-10 Control Cable Shielded,2,2,16.256,0.42412674,1.524,10,4,Industrial Grade,74041,698
DrakaPower & Control Type TC THHN OR THWN Shield,1,Draka,Power & Control Type TC THHN OR THWN Shield,2,2,15.621,0.410733264,1.524,10,4,Industrial Grade,9604,1074
DrakaPower & Control Type TC THHN OR THWN Shield,1,Draka,Power & Control Type TC THHN OR THWN Shield,2,2,15.621,0.382458148,1.524,10,4,Industrial Grade,9804,1075
General CableVNTC ,1,General Cable,VNTC ,2,2,12.7,0.30507362,1.143,10,4,Industrial Grade,243690,546
General CableVNTC ,1,General Cable,VNTC ,2,2,12.827,0.311026276,1.143,10,4,Industrial Grade,236320,547
General Cable20/10,1,General Cable,20/10,2,2,13.208,0.34971854,1.524,10,4,Industrial Grade,257740,676
OkoniteOkozel,1,Okonite,Okozel,2,2,10.668,0.2976328,0.381,10,4,Class 1E Nuclear,203-76-3554,19
OkoniteP-30,1,Okonite,P-30,2,2,14.478,0.340789556,1.524,10,4,Industrial Grade,203-84-2454,997
